text30442;"""Morning in the countryside and morning in stuffy Tokyo are totally different."""
text30900;"""Of course it's going to be a little weird: first everyone is told that I'm not going to study here anymore and then whoop! — I just come back!"""
text30901;"""Mhm…"""
text30902;"""Turns out I was extremely hungry."""
text30903;"""But that's for the better — I wouldn't want to miss the school festival."""
text30904;"""To a degree, I agreed with Ryunosuke-san — school wasn't the main issue right now."""
text30905;"""Niko-kun?"""
text30906;"""Whash? Yeaaashhh..."""
text30907;"""I mumbled with my mouth full."""
text30908;"""You're not listening to me at all…"""
text30909;"""You're like a dentist asking the patient questions in the middle of a procedure!"""
text30910;"""Himitsu pouted — and everything became normal again, as if the hardships and sorrows of the past days never happened, as if Himitsu hadn't gone anywhere, and I hadn't been running after her through that magical forest, fleeing from her own father."""
text30911;"""I'm just a bit tired… My psyche wasn't prepared for all these shocks."""
text30912;"""Everything is going to be alright."""
text30913;"""She took me by the hand."""
text30914;"""It suddenly moved me so much that I felt I was about to cry."""
text30915;"""I looked aside, so she wouldn't notice."""
text30916;"""And even if <i>everything</i> was way too complicated..."""
text30917;"""My only wish, for now, was to make this moment last forever."""
text30918;"""I love you. Have I told you that?"""
text30919;"""I don't really remember.<seq hi_laugh>"""
text30920;"""Himitsu made a serious face, but couldn't hold it for long and laughed."""
text30921;"""I pulled her to me and kissed her."""
text30922;"""And it was our first real kiss."""
text30923;"""…"""
text30924;"""I was lying in bed and thinking about the future."""
text30925;"""Today, one page of my life turned over, giving place to something new."""
text30926;"""It seemed there were a lot of words, paragraphs and punctuation marks."""
text30927;"""But all of them combined into a single blurry mirage, as it was merely one of the paths the future could follow."""
text30928;"""And all the black symbols on the white parchment of our lives would take their form and become forever fixed in eternity later — when we write them with our actions."""
text30929;"""But nobody replied."""
text30930;"""I kept knocking again and again, and then ran to the backyard – everything was closed, and it was clear there was no one at home."""
text30931;"""Well played, Ito! <w>Taking Himitsu away at the first sign of danger!"""
text30932;"""What if it was her idea...? <w>After all, yesterday she…"""
text30933;"""No, no, and no!"""
text30934;"""I was afraid to believe it, but there was a possibility that Himitsu had decided to leave herself in order to avoid seeing me."""
text30935;"""I busted in the garden door and walked inside."""
text30936;"""I checked all the rooms, but the house was empty."""
text30937;"""I returned to the living room and checked everything again — a pink elephant was sitting on the table!"""
text30938;"""How could I not have notice it?!"""
text30939;"""It was sitting motionlessly on its pedestal and staring at me with its cold, black eyes."""
text30940;"""What was that – a message?"""
text30941;"""Did Himitsu leave it here on purpose? <w>A toy she really treasured?"""
text30942;"""Or was it Ito again?"""
text30943;"""I sank powerlessly to the floor and put my head on the table."""
text30944;"""The stuffed animal was emotionless, but I still — seemingly — could see a sad expression on its face."""
text30945;"""What, your mistress left you?"""
text30946;"""I addressed it."""
text30947;"""So we're the only two left…"""
text30948;"""I yanked the elephant by its trunk. It tilted and fell to the ground, and a little folded piece of paper slipped out from under it."""
text30949;"""It rose a couple centimeters over the table and slowly glided down."""
text30950;"""As if enchanted, I watched its flight and for a long time after couldn't shake a strange numbness from my body."""
text30951;"""\""Niko-kun, <crossed-out> sorry, but <crossed-out>, it would be better if both of us <crossed-out>\""."""
text30952;"""The note had obviously been rewritten several times and was never finished."""
text30953;"""But what did it change?"""
text30954;"""What did it matter who had left the elephant and the stupid piece of paper here and why?"""
text30955;"""The most important thing was that it was Himitsu's handwriting, the way she chose to bid me farewell."""
text30956;"""Maybe, these were her last words…"""
text30957;"""So did it really matter now who was right and who was wrong?"""
text30958;"""I wondered if this elephant felt as lonely as I did and if it was as worried as I was."""
text30959;"""I'd always thought that objects like it have their own egregore, and thanks to our thoughts and memories gain their own souls."""
text30960;"""The elephant had absorbed all my love for Himitsu and all her love for me."""
text30961;"""And then it was thrown away like an out-of-fashion sweater!"""
text30962;"""Getting rid of things that remind you of a person you love is the point of no return."""
text30963;"""The sound of a car engine reached me from outside."""
text30964;"""I had no strength left to run, so I walked into the yard, tensed up, and prepared for the worst."""
text30965;"""My arms went impotently limp, the last remaining energy leaving me."""
text30966;"""Ito appeared from from around the corner accompanied by a couple goons."""
text30967;"""Got you now, Nikolai."""
text30968;"""Where's Himitsu?"""
text30969;"""She doesn't want to see you."""
text30970;"""Did she say so herself?"""
text30971;"""Yes. I don't know what you did, but in the end I'm glad that my daughter was able to make the right choice."""
text30972;"""I warned you! More than once!"""
text30973;"""She made her choice, and I made mine…"""
text30974;"""He could be lying — probably was! — but the expression with which Himitsu had looked at me out of the window, that unfinished note, and the damned pink elephant…"""
text30975;"""Didn't she realize what the consequences would be <i>for me</i>?"""
text30976;"""And if she did – did she care?"""
text30977;"""It took me too long to realize I love her, so here we are."""
text30978;"""I smirked and closed my eyes."""
text30979;"""I assume this is the end?"""
text30980;"""I don't like cheap melodrama."""
text30981;"""Ito said coldly and drew his pistol from a pocket at his chest."""
text30982;"""Well, at least, tell her…"""
text30983;"""I knew full well that he wouldn't."""
text30984;"""Tell Himitsu that I wish her happiness!"""
text30985;"""Ito lowered his pistol for a second as a shadow of doubt crossed his mind."""
text30986;"""Theatrics even in the face of death!"""
text30987;"""He grimaced in disgust and cocked the gun."""
text30988;"""But the shot didn't come. I was counting instinctively: one, two, three…"""
text30989;"""To dirty my hands…"""
text30990;"""He said in a squeamish tone and lowered his weapon."""
text30991;"""This time really is the last one — run away, run and don't look back! Try to get as far as possible from me and my daughter, Tokyo, and even Japan if you can."""
text30992;"""You're still young, you can start over. And in ten years you won't even remember this conversation."""
text30993;"""He sighed."""
text30994;"""Even if Himitsu will never know about this, I don't want her to even imagine I could be such a monster!"""
text30995;"""Your love didn't work out — that happens too, it's nobody's fault."""
text30996;"""Where do I go now...?"""
text30997;"""Forward! With your head up high! Just fight your way through life like you've been doing so far."""
text30998;"""Don't let one wrong turn become a dead end."""
text30999;"""Now it was Ryunosuke-san's turn to be way too pretentious, and I found it funny."""
text31000;"""I smirked and immediately felt strength returning to me."""
text31001;"""After all, nothing stopped me from dying whenever."""
text31002;"""So you'll just let me go like this?"""
text31003;"""I'm sure that's what Himitsu would want."""
text31004;"""Thank you…"""
text31005;"""I said, unexpectedly even to myself, passed by them as if in slow motion and walked down the street in the direction of the town."""
text31006;"""I could try to find Himitsu again."""
text31007;"""Or I could return to Tokyo…"""
text31008;"""But I clearly realized that this chapter of my life was over."""
text31009;"""I had been running a marathon, but I slipped and fell before the finish line."""
text31010;"""Now I had to make a choice — to keep lying where I was, or, resisting all pain and suffering, stand up and go the rest of the way, receive the honorary certificate and a sack of rubbish for an award."""
text31011;"""After all, the life of every person is a race where the goal's under a tombstone with their name on it."""
text31012;"""All we can choose is whether it's a nameless wooden cross or a fancy stone monument."""
text31013;"""And I'd decided not to end my race early…"""
text31014;"""The wind, unusually warm for this season, came down from the mountains and blew against my back, sweeping away the remains of my previous life."""
text31015;"""Suddenly, I felt an unusual lightness, and everything that had happened over the last weeks left only a feeling of slight sadness, plus my love for Himitsu that didn't go anywhere."""
text31016;"""It would live there, deep inside, for the rest of my life, and become a story."""
text31017;"""The story would be forgotten, as there wouldn't be anyone to tell it to, to convey everything I had felt then."""
text31018;"""And now another story was beginning for me."""
text31019;"""A different story…"""
