text39478;"""Niko-san, wake up…"""
text39983;"""The memories of yesterday began to creep in like flashbacks."""
text39984;"""It wasn't me!"""
text39985;"""I wanted to send him to the next room to Kagome, but the words stuck in my throat."""
text39986;"""I didn't like you from the start! Why did Kobayashi-dono spend so much time on you?"""
text39987;"""I was desperately looking at the garden door — if I'd manage to run past him, I could…"""
text39988;"""But Kagemaru pulled his jacket aside, showing me a holster with a pistol in it."""
text39989;"""Watching American movies, I'd never understood why people would go to their death willfully and obediently."""
text39990;"""Maybe at times the plot could justify it, but it always seemed to me that all you had to do was pull the gun out of the villain's hand, jump off the train, kick the guard — and you'd be saved!"""
text39991;"""But now, looking at the pistol, I could feel my whole body paralyzed with fear, my legs froze, and I couldn't move an inch."""
text39992;"""Hurry up! I'm not going to spend the whole morning on you."""
text39993;"""And then I realized that the sun had risen in the east, coloring the morning Tokyo mist a soft shade of pink."""
text39994;"""And if I refuse to go anywhere, will you shoot me right here?"""
text39995;"""It wasn't me trying to be brave — I was just attempting to buy some time, hoping for God knows what."""
text39996;"""You can go in your underwear — makes no difference to me."""
text39997;"""He blurted out with disgust."""
text39998;"""I begrudgingly stood up and got dressed, trying not to think about anything."""
text39999;"""We walked to the kitchen, I looked at the door to Kagome's room with hope, but it was closed."""
text40000;"""Just me?"""
text40001;"""Yes."""
text40002;"""What about…"""
text40003;"""Enough talking!"""
text40004;"""Kagemaru painfully shoved my back"""
text40005;"""That short, yet sturdy man was hiding the strength of a bear."""
text40006;"""But, in the hall I still stopped and turned to him."""
text40007;"""Listen… But I didn't do anything! I didn't touch Ellie at all!"""
text40008;"""The funniest thing was, I was telling the truth."""
text40009;"""Ojou-sama thinks differently."""
text40010;"""Did she say so herself?!"""
text40011;"""Enough wasting time!"""
text40012;"""Kagome turned out to be right, but what of it?"""
text40013;"""I remembered her words about being in no danger."""
text40014;"""What if Kagome and her grandfather had already been taken away?"""
text40015;"""What about the girl living with me… ?"""
text40016;"""I asked in a trembling voice, persuading myself that I did it out of care for her."""
text40017;"""Kagemaru didn't respond immediately, and for the first time I saw the signs of a thought process on his rigid face."""
text40018;"""Don't know anything about any girl."""
text40019;"""He was clearly lying, but why?"""
text40020;"""Even if Ellie eventually accused me of being an accomplice, she couldn't have kept quite about the fact that Kagome had been the one to kidnap her, could she?"""
text40021;"""Or, maybe, they just sent another goon for her?"""
text40022;"""Can I at least warn her… ?"""
text40023;"""No, just keep walking."""
text40024;"""I didn't move an inch."""
text40025;"""You're going to bring me to Kobayashi-sama, aren't you?"""
text40026;"""Yes."""
text40027;"""He smirked maliciously."""
text40028;"""But it's up to you whether you come voluntarily in the back seat or unconscious in the trunk!"""
text40029;"""I guess I'll choose the first option."""
text40030;"""…"""
text40031;"""The streets were absolutely empty, which made the waves of fear wash over me with ever greater strength."""
text40032;"""If Kobayashi Jun just wanted to talk like before, why would he do it at such an early hour?"""
text40033;"""Soon I realized that we weren't going to the Corporation's headquarters."""
text40034;"""Where are you taking me?"""
text40035;"""Where I need to!"""
text40036;"""Kagemaru replied rudely."""
text40037;"""And nobody would even remember me."""
text40038;"""Maybe only Himitsu — but I had done everything I could to ruin my relationship with her."""
text40039;"""Maybe in a few months the police or government employees would come over to my house to find out why I wasn't paying my bills anymore."""
text40040;"""Or my body would be washed on a shore a hundred kilometers away from Tokyo."""
text40041;"""Or I'd be found hung in <note=note64>Aokigahara</note>, which I guess would be even worse."""
text40042;"""And even Himitsu… <w>Would she be mourning for long?"""
text40043;"""Catherine, Kyosuke, Michael, Ellie, Kagome…"""
text40044;"""It seemed like they'd forget about my existence the very next day."""
text40045;"""No, I didn't want to be a cow led for the slaughter!"""
text40046;"""I tried to open the door at the traffic light, but it turned out to be locked."""
text40047;"""Kagemaru noticed that, turned back and hissed:"""
text40048;"""I told you!"""
text40049;"""His words were followed by a blow of a wrench to my forehead."""
text40050;"""…"""
text40051;"""I came to my senses in complete darkness, unable to move."""
text40052;"""My arms and legs were up against something — it seemed like I was in a tiny cell or a…"""
text40053;"""A terrible guess made my entire body tremble — I'd been buried alive."""
text40054;"""The <i>walls</i> did seem to be wooden and the muffled blows of my hands against them responded with the sound of shifting soil."""
text40055;"""I shouted as hard as I could, but soon ran out of energy."""
text40056;"""There probably wasn't a single soul for many kilometers around."""
text40057;"""Where had my life gone wrong…?"""
text40058;"""I did everything right, rescued Ellie — and this is how she paid me back!"""
text40059;"""Of course, it may not' even been her fault, but that didn't make my situation any easier!"""
text40060;"""Humans are made in a way where they always try to look for connections and figure out why things happen."""
text40061;"""It doesn't matter to an ant what crushed it — a human's boot or a fallen meteorite."""
text40062;"""Similarly, I just wanted to get out of here, gnaw my way to freedom through the soil, and forever forget about Ellie, Kagome, and this damned country with its norms and values."""
text40063;"""To hang a bag on my shoulder and walk to the Japanese sea and then swim across it."""
text40064;"""To take a ride on the <note=note140>BAM</note>, bow before the might of the endless seas of forests and swim in the Baikal to wash off all the dirt I that had built up over a decade in Japan."""
text40065;"""But none of that was going to happen — just because I had wanted to follow my conscience for once!"""
text40066;"""I had no time to prepare for death, if you can ever be prepared."""
text40067;"""I didn't want to die — I desperately feared that my conscious self would stop existing."""
text40068;"""Even if there was something after — it wouldn't be <i>me</i>, and I wanted to continue existing as Nikolai Anokhin and nothing else."""
text40069;"""Without any philosophical nonsense — I just wanted to go to bed in the night and wake up in the morning, feeling alive."""
text40070;"""Enjoy delicious food and the warm spring sun, love someone, even if without reciprocation, and feel the flow of time with every cell of my body."""
text40071;"""I wanted to learn something new, receive and share emotions, enjoy meeting other people, genuinely and without any second thoughts."""
text40072;"""I promised myself that if a miracle happened, and I got out of this grave, I'd start a whole new life!"""
text40073;"""And then I was immediately beginning to curse everyone and everything."""
text40074;"""My fingernails tore off, I had long splinters piercing my skin, blood ran down my hands, onto my face."""
text40075;"""The outside world shrunk to the size of the casket — two meters by one and change."""
text40076;"""I was desperately trying to comprehend emptiness — the state the universe had been in before the Big Bang."""
text40077;"""Soon enough that emptiness would swallow everything around us."""
text40078;"""And if I wouldn't think and comprehend, the remaining billions of years would pass for me like a second."""
text40079;"""And there would be nothing and nowhere. <w>Until the next Big Bang."""
text40080;"""I was completely exhausted, gasping for stuffy, rotten air, my lungs rattling."""
text40081;"""It was probably for the better that nobody would find out that my existence ended so pathetically."""
text40082;"""I'd rather have them think that I ran away and was still alive, somewhere, elsewhere."""
text40083;"""Hope dies last!"""
text40084;"""And I had no hope left…"""
text40085;"""Right now Ellie was acting on emotion. As soon as she was safe, she'd immediately start talking about everything that'd happened."""
text40086;"""And even if she wouldn't say anything, it'd soon become clear that Kawashima and her gang had nothing to do with it, and the investigation would continue."""
text40087;"""One way or another, Kagome would become the primary suspect."""
text40088;"""And then me."""
text40089;"""Sorry, I need to… need to…"""
text40090;"""I walked outside to catch my breath and sort out my thoughts."""
text40091;"""I needed a break."""
text40092;"""Kagome followed me."""
text40093;"""Well done, Niko-san, for not acting on emotion."""
text40094;"""Your compliments are the last thing I need!"""
text40095;"""I snapped, not wanting to agree with her on anything right now."""
text40096;"""You can still release Kobayashi — she's waiting for you."""
text40097;"""And then what?"""
text40098;"""What then?"""
text40099;"""You realize you've put me in a situation where I have no choice? No matter what I do, I'll end up the one to blame!"""
text40100;"""She smirked and shrugged."""
text40101;"""And what are you planning to do next?"""
text40102;"""I've already told you: I'll demand they release my father. Now I have something to back up that demand!"""
text40103;"""Were you also the one who left the note at Ellie's house?"""
text40104;"""Of course!"""
text40105;"""Kagome smiled, clearly satisfied with herself."""
text40106;"""There is only one little problem: once you demand the release of your father, the list of suspects will narrow down very quickly."""
text40107;"""That's why I won't demand that alone — instead, I'll ask for some secret documents concerning the Project."""
text40108;"""That's clever."""
text40109;"""I whistled."""
text40110;"""But only in theory."""
text40111;"""Kobayashi Jun may be a monster, but I'm sure his granddaughter's life is more important to him than anything else."""
text40112;"""I tried to remember the emotionless, wrinkled face of the old man, but in my memory it didn't have any expression."""
text40113;"""Was such a person capable of compassion? <w>When it came to people not related to him — possibly not."""
text40114;"""But whenever he was talking about Ellie, something changed about him, as if spring snow was melting, revealing the grass and plants that survived under it."""
text40115;"""Niko-san?"""
text40116;"""With some effort, I returned to the real world."""
text40117;"""I don't know what to think about you now."""
text40118;"""Well, sorry I haven't met your standards, but my father's been kidnapped!"""
text40119;"""You have your own truth, Ellie has her own. I just don't want to be involved in this!"""
text40120;"""But you are, Niko-san. Ever since…"""
text40121;"""She stopped, bit her lip, and turned away, as if she'd said more than she wanted."""
text40122;"""<i>Ever since</i>… what?"""
text40123;"""Since you let us live at your place."""
text40124;"""Kagome had clearly wanted to say something different, but I decided not to press her."""
text40125;"""Thanks, I regret it already!"""
text40126;"""But, Ellie was still tied up in the warehouse, definitely storing up anger not only at Iwamura but me, too."""
text40127;"""And the longer we talked, the more she accumulated."""
text40128;"""But deep inside, I began to realize that Kagome had left me no choice."""
text40129;"""For Ellie, no matter what she claimed, I was an accomplice now."""
text40130;"""I still don't like your plan. It's too obvious. Who else would want your father free, apart from you and Moriyuki-san?"""
text40131;"""Do you have any other suggestions?"""
text40132;"""You know, I feel like I just found a bloody shirt and a pistol in my wardrobe, and the police are knocking at my door."""
text40133;"""Kagome laughed, and in the silence of the dark night that laughter sounded extremely ominous."""
text40134;"""I… I won't be able to look her in the eye anymore. Not after everything…"""
text40135;"""I felt like a traitor forced to collaborate with the enemy."""
text40136;"""Except that I did it for my own safety, rather than other people's salvation."""
text40137;"""I guess my portrait wouldn't be hung next to <note=note141>Zoya Kosmodemyanskaya's</note>."""
text40138;"""You don't have to do it."""
text40139;"""Then why am I here? Mind explaining that?"""
text40140;"""<i>You</i> followed me!"""
text40141;"""And you pretended you didn't notice! You wanted me to be here! For Ellie to see me!"""
text40142;"""Maybe…"""
text40143;"""She finally agreed and looked away."""
text40144;"""But why?"""
text40145;"""Why, why… Because!"""
text40146;"""Her eyes flashed in the moonlight."""
text40147;"""You probably didn't want it to just be on you if you failed?"""
text40148;"""…"""
text40149;"""What, did I get that right?"""
text40150;"""I grinned, but Kagome looked genuinely upset."""
text40151;"""Oh come on, don't pretend to be offended now! I'm the victim here!"""
text40152;"""But the real victim sat in that damn warehouse, tied to a crate."""
text40153;"""How long are you planning to keep her there? She needs water and food…"""
text40154;"""And where do you think I've been going in the evenings?"""
text40155;"""This is just a guess, but you eat more than once a day, don't you?!"""
text40156;"""Losses are inevitable in war."""
text40157;"""But we're not at war!"""
text40158;"""I flung my arms up and paced back and forth."""
text40159;"""I don't see much of a difference."""
text40160;"""And how long ago did you… plan this?"""
text40161;"""I didn't. If they hadn't burnt my restaurant…"""
text40162;"""I remembered Kawashima and Asakura, falsely accused of kidnapping."""
text40163;"""You got back at them, too."""
text40164;"""If Kobayashi Jun does the right thing…"""
text40165;"""I interrupted her:"""
text40166;"""Do you really think you'll get away with it? Even if your father is released, old man Kobayashi won't tolerate a slight like this."""
text40167;"""You may be right."""
text40168;"""Kagome smiled sadly."""
text40169;"""And?"""
text40170;"""But we'll think about that later."""
text40171;"""<i>We</i>…"""
text40172;"""I grit my teeth and rubbed my forehead, surprised to find a splitting headache."""
text40173;"""I had to make a decision."""
text40174;"""We can't leave her here alone for the night!"""
text40175;"""Then, if you want, you can stay and guard her until I return. I'll bring food for two people. By the way, we better feed her."""
text40176;"""Are you asking me to do that?"""
text40177;"""If you want."""
text40178;"""Kagome responded emotionlessly."""
text40179;"""You know what, you started it — you finish it."""
text40180;"""…"""
text40181;"""I waited for her outside, shivering because of the cold autumn wind."""
text40182;"""I had neither the energy, nor the will to look Ellie in the eyes."""
text40183;"""And I didn't know what to do next, as if I was stuck in a superposition between two states."""
text40184;"""I couldn't let her go, but I also couldn't leave things as they were."""
text40185;"""I couldn't trust Kagome, but I was also too afraid to make any decisions by myself."""
text40186;"""I couldn't be with her, but my conscience wouldn't allow me to leave."""
text40187;"""The indecision was killing me, and I could feel myself drowning while standing on solid ground."""
text40188;"""Finally, Kagome walked out, carefully folded her empty bag and <seq ka_grin>smirked."""
text40189;"""You seem anxious, Niko-san."""
text40190;"""Is that all? Can we go?"""
text40191;"""Of course we can, except…"""
text40192;"""Did you bring your wallet? Trains don't run this late."""
text40193;"""Had other stuff on my mind."""
text40194;"""Fine, then I can lend you the money for a taxi."""
text40195;"""If you'd be so kind."""
text40196;"""Sometimes I regretted that Kagome wasn't a guy so I could punch in her the face without a twinge of regret."""
text40197;"""I got out of the car at the gate of my house and waited for Kagome to pay the driver."""
text40198;"""Where did she even get the money, given she said she hadn't managed to rescue anything from the fire?"""
text40199;"""Let's sleep, I'm tired."""
text40200;"""Kagome said once taxi left."""
text40201;"""Tired, are you?"""
text40202;"""I smirked."""
text40203;"""Wait, I have questions that can't wait until tomorrow."""
text40204;"""I'm listening."""
text40205;"""She sighed."""
text40206;"""How did you manage to kidnap Ellie? She's got guards and everything."""
text40207;"""You helped me."""
text40208;"""Me?!"""
text40209;"""Well, indirectly, of course. I only had to find an abandoned warehouse, where nobody would hear her."""
text40210;"""You're saying it like she went there herself."""
text40211;"""She did."""
text40212;"""Come on, that just sounds stupid!"""
text40213;"""At first I was planning to kidnap her the \""normal\"" way, if you can say that — like they do in movies."""
text40214;"""But for one, I had to do it in a way her guards wouldn't notice."""
text40215;"""And for two, I'm a girl and don't have the strength needed to pull that off. Knocking Kobayashi out with something heavy would be one thing, but dragging her across the city…"""
text40216;"""So I had to a simple thought: who was better at tricking her guards than Kobayashi herself?!"""
text40217;"""I suddenly felt I didn't want to hear what Iwamura had came up with, but the girl continued:"""
text40218;"""And then I only had to find the right motivation for Kobayashi to sneak away from her guards and come to the warehouse I'd selected."""
text40219;"""And that motivation was me?"""
text40220;"""Of course, Niko-san."""
text40221;"""Kagome gave me a big smile and, despite myself, I noted how unusually beautiful she looked in the moonlight."""
text40222;"""I wrote a note in your name and attached a detailed map."""
text40223;"""I didn't know what surprised me more — Kagome's resourcefulness or Ellie's gullibility."""
text40224;"""…"""
text40225;"""Niko-san, won't you even accuse me of lying?"""
text40226;"""<i>Are</i> you lying?"""
text40227;"""No."""
text40228;"""Then I won't."""
text40229;"""But you aren't surprised at all that the bait worked so well?"""
text40230;"""I saw Ellie tied up — what difference does it make how you managed to do it...?"""
text40231;"""Kagome was hinting at Ellie's feelings for me, but this wasn't the time to talk about it."""
text40232;"""Niko-san, I'm disappointed. I was sure you'd be more surprised."""
text40233;"""I'm surprised by the fact that you're turning this into a joke."""
text40234;"""I'm quite serious when it comes to action. But it seems to me we've already figured out who the main villain here is, so now we just have to wait."""
text40235;"""And who would that be?"""
text40236;"""Me, of course!"""
text40237;"""Kagome proudly pushed her chest out, as if accepting a reward for finishing a school year with straight As."""
text40238;"""You seem so proud about it…"""
text40239;"""Trust me, I'm not happy to have to go so far. But if I am to be a villain, I'm going to do it right!"""
text40240;"""Considering that innocent people suffered because of you…"""
text40241;"""Innocent people!"""
text40242;"""She said way too loudly for our peacefully sleeping neighborhood."""
text40243;"""I took my revenge on them, too!"""
text40244;"""How?"""
text40245;"""After Kobayashi got \""your\"" note, I left another one in her mailbox — containing threats supposedly from them."""
text40246;"""Genius…"""
text40247;"""I'm glad you appreciate."""
text40248;"""In reality, I simply didn't know to act around her anymore."""
text40249;"""The Japanese are clearly afraid of were-creatures for a reason!"""
text40250;"""And to think that just recently I'd started to believe we had a lot in common."""
text40251;"""But I couldn't imagine myself kidnapping a person! <w>Especially Ellie."""
text40252;"""Although, of course, Iwamura had a very different opinion of her."""
text40253;"""Alright. It's already late. Or early."""
text40254;"""I could barely stand on my feet and just wanted to go to bed as soon as possible."""
text40255;"""We'd been gone for just a few hours, but they felt like several days."""
text40256;"""Once in the kitchen, I stopped, looked around like I was seeing it for the first time, and turned to Kagome."""
text40257;"""Tomorrow…"""
text40258;"""Yes, Niko-san?"""
text40259;"""Her face expressed polite attention, which was totally inappropriate at that moment."""
text40260;"""I need to sleep. We'll talk tomorrow."""
text40261;"""Goodnight, Niko-san."""
text40262;"""I didn't respond but followed her with my eyes, then drank a glass of water and went to my room."""
text40263;"""But I couldn't fall asleep, instead lying awake with that nasty feeling where sleep refuses to come and you know you'll have to lie and wait at least an hour until its return."""
text40264;"""Even despite all the exhaustion you've accumulated."""
text40265;"""So I was sharing my house with a monster."""
text40266;"""The thought didn't so much terrify me as it caused inexplicable surprise."""
text40267;"""As if I woke up one morning and suddenly realized I was no longer eighteen, but rather forty eight — half of my life was behind me and I hadn't even noticed."""
text40268;"""How could I not see what Kagome was capable of?"""
text40269;"""And what was the limit of her determination?"""
text40270;"""If she needed to sacrifice me for her father's freedom — what would stop her?"""
text40271;"""And it wasn't only about that — but also the cruel and calculating way she executed her plan."""
text40272;"""I couldn't understand why Kagome hated Ellie so much, but the fact she did was in itself alarming."""
text40273;"""But it wasn't like Kagome was a maniac serial killer. <w>All her actions followed a careful logic."""
text40274;"""If she'd been a complete stranger to me, I probably would have been impressed by her perseverance and effectiveness."""
text40275;"""Ostentatious moralizing and hypocrisy were alien to me"""
text40276;"""Of course, I wasn't a sociopath, but the thought that the ends justified the means crossed my mind more often than it probably had to."""
text40277;"""And by turning down her offer to play bass for Z FEEL-Z I'd basically abandoned the life path that would have lead to Ellie."""
text40278;"""Maybe, Kagome and I really were accomplices now."""
text40279;"""That had obviously been Kagome's goal — and she'd succeeded, again."""
text40280;"""I should have felt affronted and cheated, but deep inside I only felt weariness and… <w>pity for her."""
text40281;"""If a person is mentally healthy, only other people or the circumstances of their life can push them to extreme actions."""
text40282;"""I didn't want to believe that in a world where Kagome's father hadn't been kidnapped by the Corporation, sooner or later she would have still easily crossed the red lines."""
text40283;"""What would I have done in her shoes?"""
text40284;"""It was easy to judge from the side, lying in warm bed, having a bank account and my own, albeit old, but decent house."""
text40285;"""But, most importantly, my wish to help her free her father was only growing stronger."""
text40286;"""Because I'd also suffered because of Kobayashi Corporation, because it was right, and because it was about her, after all…"""
text40287;"""But only within reason!"""
text40288;"""With these thoughts came the long-desired slumber that felt like a reward for all my hard labor."""
text40289;"""..."""
