text3205;"""Get up!"""
text3689;"""From the bottom of my soul was rising a burning sense of duty, irremunerable duty to Himitsu that I wouldn't be able to pay off no matter how much I tried."""
text3690;"""I hugged her and pressed her to my chest; I felt her in my hands, the fragile girl, the only human being who really cared about me."""
text3691;"""The sobs became quieter, and eventually, Himitsu's breath grew even."""
text3692;"""Let's go home?"""
text3693;"""She gave a slight nod and took me by the hand."""
text3694;"""This wasn't the time for yet more excuses or trying to sort things out; being with her was good enough."""
text3695;"""..."""
text3696;"""When we reached home, it was already evening."""
text3697;"""You probably need to get some sleep?"""
text3698;"""Mhm..."""
text3699;"""Himitsu responded without even looking at me and slowly headed for her home."""
text3700;"""Well, night brings counsel — perhaps things would calm down by tomorrow."""
text3701;"""Although I knew perfectly well that these sort of hysterics was uncharacteristic of Himitsu and would probably have consequences..."""
text3702;"""Why had I even thought the embassy's apartment would be left empty for Catherine's mother?"""
text3703;"""The USA's diplomatic mission surely had other employees as well!"""
text3704;"""But Miss Winters herself was a relatively public person, so finding her wouldn't be particularly difficult."""
text3705;"""Let's go!"""
text3706;"""But it would still be best to call from home."""
text3707;"""..."""
text3708;"""Himitsu looked joyful, perhaps even happy."""
text3709;"""So you met Saya-chan today?"""
text3710;"""I may have, but I didn't really want to remind myself of it."""
text3711;"""Yeah, at one point. Why?"""
text3712;"""No, nothing, nothing at all..."""
text3713;"""Himitsu replied impishly."""
text3714;"""Did she say something? About me, that I... well... said something wrong?"""
text3715;"""Nothing much."""
text3716;"""Well, okay then."""
text3717;"""I needed to change the subject quick."""
text3718;"""What are you so pleased about?"""
text3719;"""Himitsu only smiled in response."""
text3720;"""Come on, what is it?"""
text3721;"""It's a wonderful day today, isn't it?"""
text3722;"""I tried to remember if it was wonderful in the morning."""
text3723;"""It's already fall but it's still warm like in summer! Soon there will be rain, then cold, and then even snow!"""
text3724;"""Snow in winter, what an unexpected development!"""
text3725;"""But we'll be able to build a snowman, like when we were kids!"""
text3726;"""Yeah, except the one making it was me, you mostly just stood there."""
text3727;"""That's not true! I was managing the construction and providing moral support!"""
text3728;"""The childhood memories made me smile involuntarily."""
text3729;"""It was so long ago it seemed to have happened to someone other than me."""
text3730;"""Shocking events and emotional stress leave heavy imprints in one's memory, crossing out everything bright and joyful."""
text3731;"""Ah..."""
text3732;"""What?"""
text3733;"""I was just thinking. Was it... 10 years ago?"""
text3734;"""Yeah, something like that."""
text3735;"""She looked at me intently."""
text3736;"""Oh stop grunting like an old man, you!"""
text3737;"""I grabbed Himitsu by the cheeks and pulled them to the sides, molding a funny grimace out of her face."""
text3738;"""Ouch, it hurts!"""
text3739;"""Now you're grunting like an old woman!"""
text3740;"""..."""
text3741;"""When we reached the house, I stopped and said:"""
text3742;"""I've got a lot of homework, so..."""
text3743;"""Why are you suddenly hitting the books?"""
text3744;"""She squinted her eyes and looked just like a young investigator from the vice squad."""
text3745;"""Because if I keep things going like this, I'll get expelled even from the graduating class."""
text3746;"""It looked like she didn't believe me, or at least pretended to."""
text3747;"""No, really!"""
text3748;"""Fine, fine."""
text3749;"""Himitsu laughed."""
text3750;"""Go study, lazybones!"""
text3751;"""..."""
text3752;"""Of course, I wouldn't actually care in the slightest even if I were expelled — I just didn't want to tell her I was going to look for Catherine's mother."""
text3753;"""The yellow pages of my father's telephone book were evenly filled with firm, sprawling handwriting."""
text3754;"""Only the very end featured my crooked squiggles — sometimes vertically, sometimes horizontally, at times in Russian, Japanese, or even English."""
text3755;"""Kyosuke's number, Michael's, the bank's, social services..."""
text3756;"""I once heard that the circle of close contacts for a normal person isn't more than a hundred friends or acquaintances."""
text3757;"""Well, in that sense, the world was truly small for me..."""
text3758;"""There was also the number of Catherine's old apartment; I decided to call just in case."""
text3759;"""She no longer lived there, which was to be expected."""
text3760;"""I called the information center and learned the number of the American embassy."""
text3761;"""However, they refused to give me any info about Catherine Winters."""
text3762;"""For safety reasons, perhaps? <w>That was weird — she wasn't a spy or anything."""
text3763;"""I kept turning the pages."""
text3764;"""There was also a number of an acquaintance of father's, from the Japanese MFA."""
text3765;"""He said they did not possess the contact information for Catherine's mother."""
text3766;"""I made calls to several more places, but none brought any results."""
text3767;"""That didn't seem to be too strange; how long had it been since she arrived in the country, a week or so?"""
text3768;"""That wasn't enough of a length of time to accommodate yourself properly and talk to everyone she'd need to."""
text3769;"""It wouldn't be enough — for me..."""
text3770;"""Business people did everything much quicker, and communication was the most important part of a diplomat's work."""
text3771;"""I flipped through the telephone book once again, looking for familiar surnames."""
text3772;"""Ichinose... <w>I doubted he knew Catherine's mother — why would he?"""
text3773;"""I drove away the thoughts about the calls and the note — there was nothing odd about the current situation."""
text3774;"""..."""
text3775;"""Another hour or so of calling every possible number brought exactly zero results."""
text3776;"""The evening was drawing near… <w>I grew hungry and tiredly dragged myself to the kitchen."""
text3777;"""I had neither the desire nor the strength to cook. <w>I just sat heavily down on a chair and stared out the window, hoping, somewhere deep inside, for a miracle to happen."""
text3778;"""The miracle didn't make me wait very long: keys crunched joyfully in the hallway, and a second later Himitsu came in."""
text3779;"""Niko-kun!"""
text3780;"""She looked at me in surprise and even froze for a moment."""
text3781;"""I thought you were studying."""
text3782;"""I just finished..."""
text3783;"""And, forestalling her distrust, I added:"""
text3784;"""I'm lazy, not dumb!"""
text3785;"""Yeah, sure..."""
text3786;"""Do you want to have dinner?"""
text3787;"""You bet!"""
text3788;"""Himitsu headed to the refrigerator but suddenly stopped, as if thinking of something, and looked around."""
text3789;"""Something wrong?"""
text3790;"""It took her a bit to answer:"""
text3791;"""No, nothing, everything's fine. What do you want me to make?"""
text3792;"""If it was anyone else in her place, I may have believed everything was indeed <i>fine</i>."""
text3793;"""Was something wrong with the kitchen?"""
text3794;"""I looked around but didn't notice anything suspicious."""
text3795;"""Maybe there was some other reason?"""
text3796;"""Whatever you want..."""
text3797;"""Or was it just my imagination?"""
text3798;"""..."""
text3799;"""Well, cheers for the end of the school week!"""
text3800;"""We had finished the dinner and were just sitting at the table, enjoying the calm and quiet."""
text3801;"""Mhm..."""
text3802;"""What were you thinking of doing on the weekend?"""
text3803;"""I don't really know, haven't thought about it."""
text3804;"""And that was the honest truth."""
text3805;"""What about you?"""
text3806;"""Nothing at all?"""
text3807;"""She was clearly asking for a reason."""
text3808;"""Did you want to suggest something?"""
text3809;"""I didn't, I thought you did."""
text3810;"""I didn't either..."""
text3811;"""Niko-kun..."""
text3812;"""She frowned."""
text3813;"""Then who did you call?"""
text3814;"""Call? I didn't call anyone, why'd you think that?"""
text3815;"""The telephone book is lying open on the drawer."""
text3816;"""Ahh, you mean that! I just called the bank once!"""
text3817;"""She wasn't going to believe me — I knew the bank's number by heart, as well as a couple others, just because I never called anywhere else."""
text3818;"""Oh, naturally! I guess that's why the phone's been busy the whole time!"""
text3819;"""How do you know?"""
text3820;"""I called several times. Wanted to ask when I should come to not distract you from the studies."""
text3821;"""Uh, erm, well..."""
text3822;"""Were you busy with a round of international negotiations or something?"""
text3823;"""Bullseye, almost."""
text3824;"""In fact, I had nothing to respond with."""
text3825;"""I wasn't going to offer excuses but at the same time found myself somewhat guilty toward Himitsu."""
text3826;"""Mostly for not being able to hide from her that I'd been trying to find Catherine."""
text3827;"""So I decided to go on the offensive."""
text3828;"""So what of it? Yeah, I was making calls! Is that prohibited now?! And you're watching my every step! That's not right!"""
text3829;"""I'm not watching, I just worry about you!"""
text3830;"""She quickly grew sad."""
text3831;"""Were you looking for Katty-chan again?"""
text3832;"""There was no use in lying anymore — she'd figured me out anyway, and I'd grown quite tired of it all."""
text3833;"""Yes."""
text3834;"""I answered in a dull voice and, unable to stand her accusing glare, started to wash the dishes."""
text3835;"""Did you find her?"""
text3836;"""Himitsu's voice was trembling."""
text3837;"""No."""
text3838;"""Will you?"""
text3839;"""I don't know."""
text3840;"""But what for?"""
text3841;"""What do you mean what for? To..."""
text3842;"""I stopped short, realizing I didn't know the answer to this question myself."""
text3843;"""Do you think she'll disappear again?"""
text3844;"""I don't think anything, goddammit! Just put yourself in my place, what else am I supposed to do?!"""
text3845;"""I have... more than once."""
text3846;"""Himitsu was sitting on the chair, her back straight, looking somewhere through me with a blank expression on her face."""
text3847;"""I'll go."""
text3848;"""I had nothing to say to her."""
text3849;"""..."""
text3850;"""For a long time after the door closed behind Himitsu, water kept flowing from the tap."""
text3851;"""The sky had grown completely dark."""
text3852;"""This whole thing was weird — I had waited for a year and a half, and now couldn't endure a single day?"""
text3853;"""Catherine could have dozens of reasons to skip classes today."""
text3854;"""And most probably none of them were connected to me!"""
text3855;"""Let's go."""
text3856;"""..."""
text3857;"""Himitsu looked somehow too content."""
text3858;"""I wanted to ask what happened but couldn't bring myself to. <w>As if following a habit, I was making up a believable lie, anything just to not tell her the truth."""
text3859;"""But what in the world did I have to fear now?! <w>After all, I decided not to fuss about Catherine."""
text3860;"""I probably just got too used to keeping my true feelings hidden from Himitsu in futile attempts to prevent myself from hurting her."""
text3861;"""What are you thinking, Niko-kun?"""
text3862;"""Well, I..."""
text3863;"""Here I go again!"""
text3864;"""Just school. There's barely any of it left, and then it's adulthood."""
text3865;"""I smiled to somewhat smooth out the seeming gravity of the topic."""
text3866;"""Long overdue!"""
text3867;"""Well, it's more complicated for me compared to you."""
text3868;"""Why's that?"""
text3869;"""You made your choice long ago, you want to teach Russian. But I don't know yet..."""
text3870;"""For some reason, Himitsu blushed but kept looking at me just as intently."""
text3871;"""Better sooner than later. I have more time to get ready too!"""
text3872;"""I'm not arguing with that! But that's all well good when you know who you want to be. And I... To be honest, I don't want to become anyone."""
text3873;"""Niko-kun..."""
text3874;"""I'll go work retail for minimum wage and drink myself silly in the evenings."""
text3875;"""Niko-kun!"""
text3876;"""Fine, fine!"""
text3877;"""If I become a teacher, we could..."""
text3878;"""The end of the phrase lingered in the air."""
text3879;"""I mean, you could..."""
text3880;"""What?"""
text3881;"""Himitsu totally lost herself in the maze of her own unsaid words."""
text3882;"""But you used to have dreams and aspirations before!"""
text3883;"""And when was that?"""
text3884;"""I laughed."""
text3885;"""Before!"""
text3886;"""She stomped her small foot as hard as she could and stopped."""
text3887;"""A year and a half ago."""
text3888;"""I don't recall…"""
text3889;"""Of course you don't!"""
text3890;"""She clearly meant when Catherine and I were still together."""
text3891;"""But who did I want to become at the time?"""
text3892;"""The grief and pain seemed to have erased all other memories."""
text3893;"""No, I did, of course, remember how good it was to be together, the moments of joy and happiness."""
text3894;"""But at the same time, I completely forgot the mundane, everyday moments."""
text3895;"""As if that whole period of my life was fixated on her! <w>Catherine, Catherine, Catherine..."""
text3896;"""Was I not eating, sleeping, going to school, talking to Himitsu then?!"""
text3897;"""I bit my lip in frustration."""
text3898;"""There was only one thing you cared about back then!"""
text3899;"""What...?"""
text3900;"""You know what!"""
text3901;"""This standard woman's cop out suddenly sounded extremely fitting."""
text3902;"""Himitsu, come on, don't start again..."""
text3903;"""Come on what, don't start what?"""
text3904;"""I guess I was so used to finishing her sentences in my head, I was reflexively attributing words she never said to her."""
text3905;"""I don't want to fight! Especially not without a reason!"""
text3906;"""That wasn't at all convincing, so I took an extreme measure."""
text3907;"""I'm here now, with you, I'm not running after Catherine."""
text3908;"""It was time to put an end to our game of euphemisms."""
text3909;"""Where else would you be!"""
text3910;"""Her reaction was unexpectedly calm."""
text3911;"""You're your own worst enemy, after all."""
text3912;"""Well, if <i>that's</i> how you choose to put it..."""
text3913;"""She smiled and walked on toward home."""
text3914;"""What the hell was that...?"""
text3915;"""..."""
text3916;"""Himitsu was sitting in my room doing her homework, while I lay on the bed reading manga."""
text3917;"""It would seem like an absolutely normal sight if not for our conversation a couple hours prior."""
text3918;"""She was, however, acting as if nothing had happened."""
text3919;"""I felt uncomfortable to a degree but decided not to get back to the topic so as to not make things even worse."""
text3920;"""Niko-kun, should I spell \""осветить\"" or \""освятить\""?"""
text3921;"""Well that depends on what you're talking about."""
text3922;"""The sentence is \""освещает нам путь\""."""
text3923;"""Then there should be an \""е\"". What are you writing?"""
text3924;"""An essay."""
text3925;"""And the topic?"""
text3926;"""\""Religion and faith in Dostoevsky's novel 'The Brothers Karamazov'\""."""
text3927;"""Oooh..."""
text3928;"""I had never even read this novel… <w>Could I be envious of Himitsu...?"""
text3929;"""Our school held classes for most of the common languages of the world, but I'd rejected the idea of learning Russian as my second language since day one."""
text3930;"""I was fine as is, wasn't I? <w>Turns out I wasn't."""
text3931;"""So, is it interesting?"""
text3932;"""Read it, you can find out for yourself."""
text3933;"""Is it long?"""
text3934;"""Don't distract me! You've got your manga."""
text3935;"""The comparison of Dostoevsky to manga stung me even stronger."""
text3936;"""As you wish, milady!"""
text3937;"""I jerked myself up and went to the kitchen."""
text3938;"""More than a minute later, Himitsu was yet to show up."""
text3939;"""Was I really upset with her because the entirety of her life didn't revolve around me...?"""
text3940;"""Whatever!"""
text3941;"""..."""
text3942;"""Evening was drawing near."""
text3943;"""It was already time for dinner, and Himitsu still hadn't finished her essay."""
text3944;"""Annoyed (mostly with myself), I dug into the refrigerator, emerging with several eggs and vegetables."""
text3945;"""I could at least manage an omelet!"""
text3946;"""..."""
text3947;"""Not bad."""
text3948;"""Himitsu had a bite and complimented my cooking."""
text3949;"""How's Fyodor Mikhailovich doing?"""
text3950;"""Well, he tackles matters more philosophical than scrambled eggs."""
text3951;"""It's an omelet."""
text3952;"""I clarified and started to chew with double the speed."""
text3953;"""No, it wasn't envy at all, rather it was shame!"""
text3954;"""Yes, I was ashamed of being, in fact, absolutely pathetic even compared to Himitsu..."""
text3955;"""Why \""even\""...?"""
text3956;"""Did I really consider her just a piece of furniture?"""
text3957;"""Will you lend me the book?"""
text3958;"""Are you really interested?"""
text3959;"""She marveled."""
text3960;"""Well, it is <i>Russian</i> literature after all!"""
text3961;"""But there's no science fiction in it at all."""
text3962;"""That's not funny."""
text3963;"""I didn't want to upset you..."""
text3964;"""Himitsu uttered sadly."""
text3965;"""I'm not upset. But since when are you interested in things like this?"""
text3966;"""Well, it's..."""
text3967;"""I mean, I understand that you've been for a while, but not so heavily! This is philosophical literature you're reading already, and you're younger than me."""
text3968;"""I tried to talk calmly, but my voice sounded a tone higher than it should have."""
text3969;"""But I'm not younger than you, I just went to school later..."""
text3970;"""Maybe, but still!"""
text3971;"""Niko-kun, is something wrong?"""
text3972;"""Everything's fine! Everything's just wonderful! First Katya returns out of the blue, now I turn out to be the dumbest student in the school!"""
text3973;"""Katty-chan..."""
text3974;"""That's where realized I'd said too much in my fit of righteous anger."""
text3975;"""Catherine... It just came out like that."""
text3976;"""Himitsu put her chopsticks aside and stood up from the table."""
text3977;"""Don't worry, it's okay. I'll go."""
text3978;"""Himitsu, wait, you misunderstood! I just..."""
text3979;"""Niko-kun, it's alright. I just thought that what you said earlier today..."""
text3980;"""I'll go."""
text3981;"""Her face expressed nothing, and I just didn't know what else to do."""
text3982;"""Till tomorrow."""
text3983;"""She said, still coldly, and left."""
text3984;"""It looked like I really was the dumbest — whatever I said, it only made things worse."""
text3985;"""..."""
text3986;"""Meanwhile, the sky grew completely dark."""
text3987;"""I had most probably lived through worse days, but today was, on top of it all, also completely meaningless."""
text3988;"""I didn't manage to find Catherine but did manage to get into a fight with Himitsu."""
text3989;"""How typical of me!"""
text3990;"""If an idea gets into my head, I press forward with manic stubbornness, paying no attention to consequences or collateral damage."""
text3991;"""In the manga Kyosuke liked so much, heroes would rarely choose the path of least resistance."""
text3992;"""\""Contemptible!\"" — is what some of them would say. <w>\""Cowardliness!\"" — is what others would add."""
text3993;"""But I'd say that everyone decides for themselves if the means justify the ends."""
text3994;"""Let's say I were to get Catherine to explain herself..."""
text3995;"""Wouldn't that completely upset my relationship with Himitsu...?"""
text3996;"""And there was still the matter of the calls and the note… <w>Was I really in danger?"""
text3997;"""In any case, at the moment my head was filled with something completely different."""
text3998;"""\""If nothing changes with Catherine, and Himitsu never forgives me, then please do kill me!\"" — Is what I thought."""
text3999;"""But if I were to give up now, would that really be the end of it?"""
text4000;"""I tried to put myself in Himitsu's place."""
text4001;"""That didn't seem plausible."""
text4002;"""How would it look from her point of view? <w>Without finding anything out, <i>he</i> just forgets about Catherine and keeps living as if nothing happened?"""
text4003;"""Although it seemed to me that Himitsu would be quite alright with this scenario."""
text4004;"""Well, perhaps she would now. <w>But we're not seven years old anymore!"""
text4005;"""Something like this might fly once more, twice maybe, and then she'd just go away, cry it out, and leave everything behind as just another childhood memory."""
text4006;"""I barely believed my own logic but, driven by a surge of fear, kept piling up every remotely plausible theory."""
text4007;"""I felt ashamed about Himitsu but, at the same time, couldn't keep Catherine out of my head."""
text4008;"""Although after the events of the past day I wasn't sure about my feelings toward her either. <w>At least not completely."""
text4009;"""I was just tired. <w>With some sleep these feelings would fade away."""
text4010;"""Only to come back tomorrow?"""
text4011;"""No, I couldn't keep going like this!"""
text4012;"""I needed to find her and... let her go or..."""
text4013;"""At that moment I didn't want to think any further."""
text4014;"""Maybe I was afraid, but what the hell did it matter?"""
text4015;"""The last car drove down the street, its tires creaking quietly, and my district sank into pre-dawn silence."""
text4016;"""The morning came suddenly."""
text4017;"""Yesterday's tiredness seemed to have vanished as if by magic, even though I only managed to get 4 or 5 hours of sleep."""
text4018;"""I delightedly stretched and went to the kitchen."""
text4019;"""On the table lay a simple breakfast and a note."""
text4020;"""\""Niko-kun... See you in school. H.\"""""
text4021;"""I imagined Himitsu's displeased face and couldn't help but smile."""
text4022;"""It would be funny if it wasn't so sad..."""
text4023;"""She had a peculiar way to be upset with me."""
text4024;"""What would've happened if I did something really bad?"""
text4025;"""Would she make porridge instead of a three-course meal?"""
text4026;"""On the other hand, this was a pretty sad state of affairs."""
text4027;"""But there were more important things to worry about now!"""
text4028;"""Today I definitely had to talk to Kagome."""
text4029;"""I walked down the street, tossing up and catching a ripe red apple Himitsu had left behind."""
text4030;"""It could just turn out to be my last food until evening."""
text4031;"""I stood up, stretched myself, and went to the bathroom only to run into Himitsu in the hallway."""
text4032;"""Niko-kun!"""
text4033;"""Good morning. I came to make you breakfast."""
text4034;"""Good morning."""
text4035;"""Niko-kun..."""
text4036;"""What?"""
text4037;"""Himitsu blushed and lowered her eyes."""
text4038;"""Ah, right..."""
text4039;"""Yeah, I only had my underpants on, what of it? <w>Should I have been sleeping in a tuxedo?"""
text4040;"""..."""
text4041;"""Today's Friday!"""
text4042;"""Himitsu joyfully said, finishing breakfast."""
text4043;"""Hooray, finally!"""
text4044;"""I jokingly mimicked her."""
text4045;"""Hey!"""
text4046;"""In reality, all of my thoughts were occupied by yesterday's incident with Kagome."""
text4047;"""I definitely had to talk to her today!"""
text4048;"""..."""
text4049;"""I didn't even notice when we reached school."""
text4050;"""Oh, Saya-chan!"""
text4051;"""Himitsu exclaimed and was about to approach her friend but immediately stopped and gave me a guilty look."""
text4052;"""Go already! See you... later."""
text4053;"""She smiled and ran off.<seq hide_hi>"""
text4054;"""I had things to care about too."""
text4055;"""Thoughtful, I was walking through the school's yard; suddenly, joyful shouts coming from the pool reached my ears."""
text4056;"""Someone was clearly happier with life than me… <w>Who was it, I wondered."""
text4057;"""I slowly approached the fence and hid behind bushes."""
text4058;"""Splashing around in the pool was the parallel class."""
text4059;"""There was nothing interesting to it and I was about to leave for the school building, but my eyes stopped on Ellie."""
text4060;"""She looked gracious, perhaps even aristocratic. <w>Both in a school uniform, an informal gown, and in her swimsuit."""
text4061;"""Reflecting off of the water, flecks of sunlight played on her smooth skin, her wet hair fluttered in the wind, and her smile was so blinding Ellie couldn't help but stand out from the rest of the girls."""
text4062;"""I wondered if beauty always came complete with wealth and success."""
text4063;"""In any case, her life was most certainly simpler than mine."""
text4064;"""And it wasn't even about the events of the past several days — Ellie simply didn't have to worry about the future!"""
text4065;"""And what about me? <w>Was I going to finish school and go work for my food?"""
text4066;"""In another life, our positions could be switched..."""
text4067;"""Although, it could be that in this life, too, there was her complete opposite — Kagome."""
text4068;"""Well, Ellie might've had the better looks, but I caught myself thinking that I was comparing apples to oranges."""
text4069;"""Or rather, a girl wrapped in a gigantic puffer jacket, wearing felt boots, and with a thick wool kerchief on her head to a girl dressed in an evening gown with professional makeup on her face."""
text4070;"""Kagome… <w>I really didn't have time to admire lustrous sceney with beautiful girls!"""
text4071;"""I was about to leave when Ellie suddenly looked right at me and froze for a second."""
text4072;"""Eeeek!"""
text4073;"""She suddenly cried out and waved her hands at me."""
text4074;"""This was the last thing I needed!"""
text4075;"""All of her classmates turned their heads in my direction."""
text4076;"""Now I was going to also be known as the school's pervert… <w>Japan was strict about this stuff."""
text4077;"""What next?"""
text4078;"""I'd been a layabout, a hooligan… <w>A slacker, but never a pervert!"""
text4079;"""Anyway, this wasn't the best time to be ruminating..."""
text4080;"""I crouched and broke into a run away from the pool."""
text4081;"""Stopping only at the school's entrance, I looked back only to see no pursuit."""
text4082;"""I was sure they couldn't have seen my face among the bushes, which meant it was too early to crown myself with the title of pervert. <w>It would take some work yet to deserve it."""
text4083;"""I had already finished changing my shoes and was about to go to class when a shout resounded from behind my back:"""
text4084;"""Hey you!"""
text4085;"""In front of me stood Ellie, her breath heavy."""
text4086;"""And still clad in the swimsuit."""
text4087;"""When I... When I'd started to think you were normal! To peek at girls!"""
text4088;"""Well, to be fair, there were guys there too."""
text4089;"""I decided to play dumb:"""
text4090;"""No idea what you're talking about. Hi, by the way."""
text4091;"""Stop pretending! I just saw you at the pool."""
text4092;"""At the pool? What would I be doing there? I don't even know how to swim. Well, I do, actually, but not that well..."""
text4093;"""Stop clowning around!"""
text4094;"""She interrupted me and stepped closer."""
text4095;"""If for some reason you think you'll come out clean..."""
text4096;"""Doubt I'll come out any cleaner than you."""
text4097;"""I looked down at her swimsuit."""
text4098;"""What...?"""
text4099;"""It took Ellie a few seconds to understand what was going on, then it finally dawned on her."""
text4100;"""You! You! Pervert!"""
text4101;"""She covered herself with her hands and hid behind a locker."""
text4102;"""The nearby students had already been casting puzzled glances at her, but after this started to circle around us, at a respectable distance."""
text4103;"""So, swimming in a swimsuit is fine? Being in front of all your male classmates is fine? But here, with me, it's not?"""
text4104;"""It looked liked Ellie just wasn't listening to me. She kept glaring daggers left and right, like a cornered lion."""
text4105;"""You know you're not exactly in the right uniform for school, right?"""
text4106;"""It's all your fault!"""
text4107;"""It looked like she'd finally started to understand what I was saying, even looking out at me from behind the locker."""
text4108;"""You damn voyeur!"""
text4109;"""I wasn't peeping on you! I just passed by! Is it my fault our pool's there?"""
text4110;"""It really was a very weird place for a pool, actually."""
text4111;"""Why were you watching then?"""
text4112;"""Ellie said, calming down a little."""
text4113;"""Just daydreaming..."""
text4114;"""It was a bad excuse — the bottom line was that I was still peeping."""
text4115;"""Okay, fine, I'm a pervert, happy now? Nikolai Lazyborn of the House Anokhin, the father of lust, the king of hooligans, do-nothings, and future hobos!"""
text4116;"""A light smile appeared on Ellie's face."""
text4117;"""You're a strange one, can't even be angry with you properly."""
text4118;"""Is this a compliment?"""
text4119;"""From outside came a gust cool wind, and she shivered."""
text4120;"""Watch it! I'll forgive you — but for the first and only time!"""
text4121;"""Ellie ran back to the pool, her head cast down."""
text4122;"""I wondered how much this incident damaged her reputation as queen of the school."""
text4123;"""Or was she absolutely inviolable? <w>Would it take something worse for everyone to see that the queen was, in fact, naked...?"""
text4124;"""Giggling, I entered my class."""
text4125;"""The Ellie incident lifted my spirits and distracted me from worrying thoughts of my coming conversation with Kagome."""
text4126;"""Meanwhile, her desk was empty."""
text4127;"""You're unusually happy early in the morning. Did something happen?"""
text4128;"""Can't hide anything from Kyosuke!"""
text4129;"""Well, yeah, something did..."""
text4130;"""If I were to say I saw Ellie in a swimsuit he would probably have a heart attack."""
text4131;"""And what was it?"""
text4132;"""Nothing important..."""
text4133;"""Keeping secrets, eh?"""
text4134;"""Not a secret, it just doesn't matter."""
text4135;"""Sometimes it seems like you're hiding classified information!"""
text4136;"""Really? Why?"""
text4137;"""Doesn't matter."""
text4138;"""He replied, mocking me."""
text4139;"""Okay, whatever."""
text4140;"""Hey, wait, that's it?!"""
text4141;"""Yep."""
text4142;"""What else was there to talk about?"""
text4143;"""I glanced around the class, looking for Kagome, but she never came."""
text4144;"""Catherine wasn't there either, but I was, surprisingly, not too perturbed by her absence."""
text4145;"""I'll tell you if you win a bet with me."""
text4146;"""Kyosuke's eyes lit up."""
text4147;"""What's the bet?"""
text4148;"""You have to keep quiet the whole day today."""
text4149;"""You're always like that..."""
text4150;"""The bell rang, and the teacher entered the class, followed by Kagome."""
text4151;"""Oh well, there was a full day ahead."""
text4152;"""..."""
text4153;"""The lesson dragged on slowly; especially because I was replaying yesterday evening over and over in my head."""
text4154;"""Kagome saw me, there's no way she didn't!"""
text4155;"""And most probably she was the one to call the police."""
text4156;"""Let's say she had a reason for that, at least from her point of view."""
text4157;"""But if Kagome and this Akira Moriyuki really had nothing to hide, then why would she?"""
text4158;"""It would've been much easier to come out and say they'd never heard of Shinji!"""
text4159;"""At least it would be less suspicious..."""
text4160;"""..."""
text4161;"""As soon as the lesson was over, I jumped up and rushed to Kagome."""
text4162;"""I couldn't let her leave!"""
text4163;"""We need to talk!"""
text4164;"""Kagome pursed her lips and frowned."""
text4165;"""What about?"""
text4166;"""She made for a bad actress. <w>Himitsu could teach her a thing or two."""
text4167;"""You know what I'm talking about! Don't put on an act, please. At least not in class."""
text4168;"""I don't under..."""
text4169;"""Fine, whatever. I don't really care what people think of me, but what about you?"""
text4170;"""Kagome cast a quick glance at our classmates, but we hadn't caught their interest yet."""
text4171;"""Let's go."""
text4172;"""<seq ka_nodup>She nodded toward the door."""
text4173;"""..."""
text4174;"""A minute later, we were on the roof."""
text4175;"""I'm listening."""
text4176;"""The arms crossed over her chest and the focused expression on her face left no doubt that she knew what the conversation was going to be about."""
text4177;"""Her hair fluttered beautifully in the wind, her silhouette resembling an ancient Japanese warlord intently watching the course of a battle from a hill."""
text4178;"""Just a couple hours prior, I thought there was no way to compare milady Ellie to the peasant girl Kagome, but now I wasn't so sure."""
text4179;"""Well?"""
text4180;"""She finally uttered with impatience."""
text4181;"""Are we going to just stand here?"""
text4182;"""I woke up from my daze and said:"""
text4183;"""Can you explain your behavior yesterday?"""
text4184;"""..."""
text4185;"""Kagome's face seemed to be frozen in stone; she looked like a statue."""
text4186;"""Fine, then I'll talk for you."""
text4187;"""Yesterday you got scared about some suspicious guy trying to get into your restaurant when it was closed and called the police, right?"""
text4188;"""..."""
text4189;"""Is this something you normally do? Keep this up and your establishment will lose every last client! They come to eat sushi and end up in a prison van!"""
text4190;"""And who is Akira Moriyuki? Your father, uncle, maybe husband?"""
text4191;"""At the word \""father\"", Kagome's cheek twinged."""
text4192;"""She was completely unable to hide her true feelings, and this detached mask was the only solution she knew."""
text4193;"""Not like it helped much."""
text4194;"""Father, then. I see. Maybe you even know Akira Shinji?"""
text4195;"""..."""
text4196;"""Oh don't worry so much, I just need to talk to him about something."""
text4197;"""Kagome just kept standing there, looking somewhere past me."""
text4198;"""In any other situation her cold glare would make me avert my eyes, but right now I was too pumped up."""
text4199;"""Drop it already! What are you hiding?"""
text4200;"""I'm not hiding anything."""
text4201;"""Kagome finally answered with a slight strain in her voice."""
text4202;"""And then it dawned on me — what if it wasn't about Nikolai Anokhin in particular?"""
text4203;"""What if she was just scared?"""
text4204;"""Listen, don't think that... I mean, you have nothing to be afraid of!"""
text4205;"""By the looks of it, I'd shown weakness, and Kagome's expression changed immediately."""
text4206;"""Afraid? Of you? You wish!"""
text4207;"""I have no idea what your speech here was about. I just didn't want to have this farce in class, that's why I came with you."""
text4208;"""Oh, so that's how you talk now!"""
text4209;"""I knew she was lying."""
text4210;"""And she knew I knew."""
text4211;"""The only question was if she had the confidence to stand her ground."""
text4212;"""And what was this seemingly quiet, unsociable girl hiding?"""
text4213;"""Now, if that's all..."""
text4214;"""Kagome headed to the exit, but I appeared in her way."""
