text14227;"""Sleep well?"""
text14703;"""We only managed to save you thanks to Michael!"""
text14704;"""My unnaturally enthusiastic tone sounded fake."""
text14705;"""It's lucky you figured out where they were keeping me…"""
text14706;"""I couldn't hear any skepticism in Catherine's voice, but I doubted that meant she completely trusted Michael."""
text14707;"""You need to rest, let's talk tomorrow."""
text14708;"""She removed the towel for a second, looked at me, but didn't argue."""
text14709;"""Okay. But please, don't go anywhere."""
text14710;"""I cast a quick glance at Michael and smiled apologetically."""
text14711;"""He sighed and walked out of the room, saying:"""
text14712;"""You two should sleep."""
text14713;"""You don't trust him?"""
text14714;"""I asked Katya when we were left alone."""
text14715;"""I don't know. Call it intuition, but it seems that he is pursuing his own goals."""
text14716;"""I think so too… At least, romantic goals."""
text14717;"""Are you jealous?"""
text14718;"""You bet!"""
text14719;"""I leaned over and kissed her, but Catherine immediately let out a groan."""
text14720;"""Ohh, don't! My head is splitting!"""
text14721;"""Sorry…"""
text14722;"""What do we do next?"""
text14723;"""Michael has photos… of Kobayashi Jun's granddaughter, he's the head of Kobayashi Corporation. Photos of her buying drugs."""
text14724;"""He was trying to use them to make these people let you go."""
text14725;"""But why is he helping us?"""
text14726;"""Good question…"""
text14727;"""Although I would phrase that differently: why wasn't he taking all the credit? <w>Why was I here?"""
text14728;"""However, right now Catherine needed to rest."""
text14729;"""I'll sleep… I don't know, on the floor."""
text14730;"""Just lie next to me."""
text14731;"""She tried to lightly pull me to her."""
text14732;"""I have serious doubts that this fuckpad would fit two people."""
text14733;"""Wanna test that?"""
text14734;"""Katya asked me playfully."""
text14735;"""I thought you had a headache…"""
text14736;"""Oxytocin is a well-known painkiller."""
text14737;"""Oxy… what? How do you know this shit?"""
text14738;"""What if I want to go to medical school?"""
text14739;"""Do you?"""
text14740;"""What if?"""
text14741;"""I kissed her again, and this time Katya reciprocated."""
text14742;"""You know, when mom said that she had to go to Japan again, I could've stayed with my grandma in the US…"""
text14743;"""I know…"""
text14744;"""I blurted out without thinking."""
text14745;"""How?"""
text14746;"""Catherine suddenly pushed me away."""
text14747;"""Well… Your mom told me."""
text14748;"""Interesting. Doesn't sound like her."""
text14749;"""What if she suddenly started believing in our love?"""
text14750;"""Uh huh, sure."""
text14751;"""She smirked."""
text14752;"""About your mom…"""
text14753;"""Since we'd become so open with each other, I decided not to postpone this difficult conversation."""
text14754;"""Although I don't understand why she was so seemingly passive after you were kidnapped, that isn't a crime in itself..."""
text14755;"""But I have also found out that she may, possibly, have had something to do with my parents' death."""
text14756;"""How did you find that out?"""
text14757;"""Let's say I saw some evidence."""
text14758;"""What evidence?"""
text14759;"""Sufficient evidence, Katya! I doubt the CIA has an official form that you need to fill in and sign to kill a person."""
text14760;"""I agree that my mom is no saint, but…"""
text14761;"""Suddenly, she went silent and turned to the wall."""
text14762;"""I don't even know who to believe anymore."""
text14763;"""When they caught me, I thought I'd die!"""
text14764;"""In that warehouse… How much time has passed?"""
text14765;"""Around a week, I think."""
text14766;"""It felt like a lifetime to me!"""
text14767;"""When you don't know what will happen to you the next minute…"""
text14768;"""Catherine started to cry. <w>I lay next to her and hugged her."""
text14769;"""You said a week. Do you think that's enough to lose your mind?"""
text14770;"""I didn't know what to say."""
text14771;"""It's probably enough to look back and see the mistakes you've made."""
text14772;"""This isn't your fault…"""
text14773;"""No, it is. At least my indecisiveness and cowardice are!"""
text14774;"""I'm just pretending to be all responsible and mature, but at the most important moment I got cold feet and let my mom decide everything for me…"""
text14775;"""Katya, if this is about the pregnancy again, I'm not blaming you for anything!"""
text14776;"""But I am blaming myself! I felt ashamed, understand?! I returned to Japan and saw no hatred in your eyes."""
text14777;"""You just didn't know anything because you never read that letter, but I sunk so deep into self-loathing that I couldn't react sensibly."""
text14778;"""See, I returned to walk upon the gallows and accept my just punishment — but the executioner happened to be on holiday."""
text14779;"""I wasn't prepared to keep living with that sense of guilt, I was desperately waiting for the day when you would just spit in my face and say that you don't want to know me anymore…"""
text14780;"""I would never…"""
text14781;"""And then, when I found myself so close to death, tied up, alone, I suddenly wanted to live so badly!"""
text14782;"""Has everything I've done really earned me a second chance…?"""
text14783;"""Of course!"""
text14784;"""I hugged her so tightly that Catherine let out a moan."""
text14785;"""Don't… I'm so dirty — I haven't taken a shower in forever!"""
text14786;"""I don't care!"""
text14787;"""Nick, if we could start everything over again and just forget the last two years…"""
text14788;"""Like we'd met each other yesterday. You'd make lame jokes and I would pretend I'm not interested at all."""
text14789;"""But can we… Do I deserve forgiveness?"""
text14790;"""But we don't need to forget! We can just leave the past behind and move forward, and in ten years we'll look back and laugh at how silly we were!"""
text14791;"""Ten years… Nick, are you sure?"""
text14792;"""I've never been so sure about anything in my life!"""
text14793;"""My hands were long living their own life and unfastened a few buttons of her blouse."""
text14794;"""Won't Michael mind?"""
text14795;"""Screw him!"""
text14796;"""…"""
text14797;"""Catherine fell asleep and almost stopped breathing."""
text14798;"""I put my ear against her chest and only then heard the gentle beat of her heart."""
text14799;"""The bed was indeed too small for two, and I had to push myself against the wall, so that Katya would have enough space to sleep comfortably."""
text14800;"""Deep inside I had wanted to believe that we would be together again, but even in the most foolish dream I couldn't have hoped for such a degree of openness and intimacy."""
text14801;"""This day brought our relationship to a level where, it seemed, nothing could ever stand in the way of our love."""
