text9048;"""AAAAAAAAAH!"""
text9532;"""I kicked a stone under my foot, and it flew like the ball after Maradona's free kick and hit the bumper of a truck parked on the side of the road."""
text9533;"""The alarm didn't go off (or maybe the old piece of junk didn't even have one), and I didn't have to run away."""
text9534;"""However, it made me come to my senses and get back to sinful earth."""
text9535;"""…"""
text9536;"""The lights were on in Himitsu's house — it wasn't that late though, so I wasn't surprised."""
text9537;"""I stopped and just stared at her windows but didn't manage to see anything."""
text9538;"""My front door's creaking sounded like it was its last every time — I wondered for how much longer it would hold."""
text9539;"""The entire house appeared to be old, decrepit, but at the same time still alive."""
text9540;"""It was like an old man who was could barely move his legs but still kept the shine of youth in his eyes."""
text9541;"""My parents used to tell me that before us it housed the family of a corrupt government official."""
text9542;"""He was imprisoned, and his wife and kids had to sell all their property to pay the debts."""
text9543;"""Although I couldn't remember who had owned the house before them (or, perhaps, I never knew)."""
text9544;"""When we were little, I liked to scare Himitsu by coming up with stories of seeing previous owners' ghosts in the dark."""
text9545;"""I was telling her that once an executioner and his family lived there, and one day he went mad and cut them all to pieces with his katana and then committed harakiri."""
text9546;"""It was quite a banal story, but it was more than enough for impressionable Himitsu — she would cry and complain about me to her parents."""
text9547;"""Despite the fact that in such a house there really could be ghosts, the scariest thing I ever saw were the shadows of the trees growing in the garden as they swung in the wind."""
text9548;"""And, perhaps, the creaking floors, walls, and ceilings: this house was so old that almost everything here was making <i>weird </i> sounds."""
text9549;"""Not everyone would like a dwelling infused with the auras of its many previous owners."""
text9550;"""The house was built in <note=note50<the Meiji era</note> as far as I knew, so it could have had many."""
text9551;"""I often used to find many antique things in the attic and storerooms: <note=note51>ningyo</note>, household items, old kokeshi, paper sheets with weirdly drawn hieroglyphs I didn't know, even a sinai that I then played with for long until I broke it."""
text9552;"""The world of childhood is immense — the simplest things become magical artifacts, and the smallest detail is enough for a child's imagination."""
text9553;"""However, soon my mom threw away almost all the old <i>junk</i>, replacing it with more functional and modern items."""
text9554;"""Comfort and functionality with a discount, without the moss-covered memories and dusty tatters of times past."""
text9555;"""Plastic instead of wood, TV instead of a bookshelf, an air conditioner instead of <note=note52>an ogi fan</note>."""
text9556;"""And only the kotatsu managed to survive all the house's owners, giving warmth and taking nothing in return."""
text9557;"""In my room, there used to be only bare tatamis and closets with futons."""
text9558;"""Maybe it used to be a guest room?"""
text9559;"""Maybe it served to organize sleeping places for a dozen men quickly and without much hassle — the Japanese of that time weren't very picky."""
text9560;"""I recalled Kagome saying that such a huge house was too big for one person."""
text9561;"""I often thought so myself, especially during the nights."""
text9562;"""Every item has a purpose, and whatever you do with it, it will try to fulfill it."""
text9563;"""If the house was built for a big family, and only big families lived there, it's natural that a lonely student would feel uncomfortable surrounded by all the empty space."""
text9564;"""Bedrooms without owners, a huge guest room that hadn't seen guests in ages, an abandoned garden and dusty corridors…"""
text9565;"""If I stay alive after all this, I should think about finding a more suitable place for myself…"""
